day,ethereum,tron,solana,bsc,base,arbitrum,polygon,avalanche,optimism,aptos,plasma,sui,ton,stellar,celo,hyperevm,worldchain,linea,stable,codex,total
2025-08-01,461817333400.764160,291410926336.600891,40175878836.054413,78459252976.481613,22895846078.393433,39226705534.856888,9487179730.272816,9905031331.907677,1693141667.962783,7906102650.402813,0,1320747677.415452,556645804.045628,336114114.571962,203970426.102969,0,106443847.547020,659.313336,0,1000213.217500,965502321285.911499
2025-09-01,443094453849.072144,299582850530.306946,61434448307.046494,95586696462.623230,37406877706.433395,34126376350.263813,9184179105.930582,8446517455.686433,1464011394.398870,8468763517.804655,2922494998.669681,1336764403.597207,590158732.431651,319390773.338572,139858784.915229,17654161.198756,212001877.639558,166481235.140291,0,1000220.786576,1004500979867.284058
2025-10-01,641526043584.154419,322561686913.045227,272721490264.528259,120356197239.890915,51736048885.639008,43405724253.555817,9263234355.696342,7688161172.689784,1599012696.066282,11633646753.365742,12740714939.449490,4847079358.607218,713303934.460683,349834716.784138,173590307.806491,35793519.544647,188147472.374699,398923593.046661,0,234985699.687372,1502173619660.392822
2025-11-01,605348396055.686890,296691533861.386597,82008673434.938202,77573450489.022400,34679344369.527451,29297706218.868347,9094832878.328825,5992738188.045471,1408401210.706505,8991684865.512413,7454751086.459784,1222322835.763307,541413263.372231,334188738.155037,217954512.621184,81113281.291766,77728980.504076,119820546.076133,29421.184952,36202706.827646,1161172286944.279541
2025-12-01,524617224578.236206,300605095322.456482,59859696811.840363,77002749396.220520,17139103772.966063,22285613112.580429,9148281918.750776,5271641734.582281,1071772613.385996,7130212741.727006,5081759862.759215,730902183.270998,571040997.655759,397317613.047732,167103902.414232,318715509.502110,137629460.278277,23788251.619960,404395613.973031,57153601.144925,1032021198998.412109
2026-01-01,505121708777.201050,284378490997.569336,199614466751.332336,68159533218.813141,33722540967.553398,26232835693.719131,9523822624.223259,5242378304.486972,1392407978.194565,6951415130.041317,4510468052.072393,670865333.403230,506839247.282849,387509106.946945,142842670.782301,264299241.810928,103452592.589059,68116709.859756,129402497.480999,3388730.603444,1147126784625.967041
2026-02-01,548271768333.794434,252425691738.262604,659790920589.152466,67258681213.563248,212039137383.325867,20671463968.096054,8858607489.923321,4416273468.516013,830259744.382749,5767698114.830848,3884662641.614686,382646471.132700,453598073.093407,386273423.684219,147159516.743529,187942671.372860,60176443.154232,28115534.781166,4275611.432004,1000042.586352,1785866352473.443115
2026-03-01,613309313070.604004,273490114590.527191,331155036638.903687,63580643790.967941,143677952785.751892,16433422416.377171,10432674438.390751,4077603483.971929,837992881.763404,5731763744.611339,3595822663.585746,367005165.771948,480183909.493243,386189702.065902,117554048.288815,180888481.776944,26881650.125416,7596603.526584,1604503.741191,1119194.211441,1467891363764.456787
2026-04-01,396941867851.585876,281541909326.708923,275971106186.159668,47748529067.107712,205536208849.279083,15769277981.244770,10124897826.316433,4205556509.983400,743889040.294104,5473799137.161195,3666912754.415631,373440565.306400,471447573.101632,441684549.056943,71272017.477547,176746933.893709,21483713.584988,6862579.627302,11920448.893955,2423771.882657,1249301236683.081787
2026-05-01,339985729609.017517,303892638974.172241,211554457276.066650,49445111042.887329,168718181689.233154,13821338068.748564,10012292067.715878,4474835786.624152,824223497.136507,5625408993.942831,3495762759.269944,360959911.766435,646867113.505128,570268476.690121,135561408.755475,283554731.057437,51779367.937784,7833589.786112,33220723.097089,500012.010103,1113940525099.420166
2026-06-01,40688011573.413231,42709733832.024086,11816021743.873014,8277014649.735656,49356554757.322769,3421169670.222105,1423143293.458396,833899546.615743,110038096.418657,567308452.435261,439688582.288136,43647644.360269,82724077.758352,124361713.512280,16616835.403841,21628980.417771,7314913.068927,536457.781983,16001462.265783,0.003000,159955416282.379333
